ID,Name,Type 1,Type 2,HP,Attack,Defense,Speed
547,Whimsicott,Grass,Fairy,60,67,85,116
548,Petilil,Grass,,45,35,50,30
549,Lilligant,Grass,,70,60,75,90
550,Basculin,Water,,70,92,65,98
551,Sandile,Ground,Dark,50,72,35,65
552,Krokorok,Ground,Dark,60,82,45,74
553,Krookodile,Ground,Dark,95,117,80,92
554,Darumaka,Fire,,70,90,45,50
555,DarmanitanStandard Mode,Fire,,105,140,55,95
555,DarmanitanZen Mode,Fire,Psychic,105,30,105,55
556,Maractus,Grass,,75,86,67,60
557,Dwebble,Bug,Rock,50,65,85,55
558,Crustle,Bug,Rock,70,95,125,45
559,Scraggy,Dark,Fighting,50,75,70,48
560,Scrafty,Dark,Fighting,65,90,115,58
561,Sigilyph,Psychic,Flying,72,58,80,97
562,Yamask,Ghost,,38,30,85,30
563,Cofagrigus,Ghost,,58,50,145,30
564,Tirtouga,Water,Rock,54,78,103,22
565,Carracosta,Water,Rock,74,108,133,32
566,Archen,Rock,Flying,55,112,45,70
567,Archeops,Rock,Flying,75,140,65,110
568,Trubbish,Poison,,50,50,62,65
569,Garbodor,Poison,,80,95,82,75
570,Zorua,Dark,,40,65,40,65
571,Zoroark,Dark,,60,105,60,105
572,Minccino,Normal,,55,50,40,75
573,Cinccino,Normal,,75,95,60,115
574,Gothita,Psychic,,45,30,50,45
575,Gothorita,Psychic,,60,45,70,55
576,Gothitelle,Psychic,,70,55,95,65
577,Solosis,Psychic,,45,30,40,20
578,Duosion,Psychic,,65,40,50,30
579,Reuniclus,Psychic,,110,65,75,30
580,Ducklett,Water,Flying,62,44,50,55
581,Swanna,Water,Flying,75,87,63,98
582,Vanillite,Ice,,36,50,50,44
583,Vanillish,Ice,,51,65,65,59
584,Vanilluxe,Ice,,71,95,85,79
585,Deerling,Normal,Grass,60,60,50,75
586,Sawsbuck,Normal,Grass,80,100,70,95
587,Emolga,Electric,Flying,55,75,60,103
588,Karrablast,Bug,,50,75,45,60
589,Escavalier,Bug,Steel,70,135,105,20
590,Foongus,Grass,Poison,69,55,45,15
591,Amoonguss,Grass,Poison,114,85,70,30
592,Frillish,Water,Ghost,55,40,50,40
593,Jellicent,Water,Ghost,100,60,70,60
594,Alomomola,Water,,165,75,80,65
595,Joltik,Bug,Electric,50,47,50,65
596,Galvantula,Bug,Electric,70,77,60,108
597,Ferroseed,Grass,Steel,44,50,91,10
598,Ferrothorn,Grass,Steel,74,94,131,20
599,Klink,Steel,,40,55,70,30
600,Klang,Steel,,60,80,95,50
601,Klinklang,Steel,,60,100,115,90
602,Tynamo,Electric,,35,55,40,60
603,Eelektrik,Electric,,65,85,70,40
604,Eelektross,Electric,,85,115,80,50
605,Elgyem,Psychic,,55,55,55,30
606,Beheeyem,Psychic,,75,75,75,40
607,Litwick,Ghost,Fire,50,30,55,20
608,Lampent,Ghost,Fire,60,40,60,55
609,Chandelure,Ghost,Fire,60,55,90,80
610,Axew,Dragon,,46,87,60,57
611,Fraxure,Dragon,,66,117,70,67
612,Haxorus,Dragon,,76,147,90,97
613,Cubchoo,Ice,,55,70,40,40
614,Beartic,Ice,,95,110,80,50
615,Cryogonal,Ice,,70,50,30,105
616,Shelmet,Bug,,50,40,85,25
617,Accelgor,Bug,,80,70,40,145
618,Stunfisk,Ground,Electric,109,66,84,32
619,Mienfoo,Fighting,,45,85,50,65
620,Mienshao,Fighting,,65,125,60,105
621,Druddigon,Dragon,,77,120,90,48
622,Golett,Ground,Ghost,59,74,50,35
623,Golurk,Ground,Ghost,89,124,80,55
624,Pawniard,Dark,Steel,45,85,70,60
625,Bisharp,Dark,Steel,65,125,100,70
626,Bouffalant,Normal,,95,110,95,55
627,Rufflet,Normal,Flying,70,83,50,60
628,Braviary,Normal,Flying,100,123,75,80
629,Vullaby,Dark,Flying,70,55,75,60
630,Mandibuzz,Dark,Flying,110,65,105,80
631,Heatmor,Fire,,85,97,66,65
632,Durant,Bug,Steel,58,109,112,109
633,Deino,Dark,Dragon,52,65,50,38
634,Zweilous,Dark,Dragon,72,85,70,58
635,Hydreigon,Dark,Dragon,92,105,90,98
636,Larvesta,Bug,Fire,55,85,55,60
637,Volcarona,Bug,Fire,85,60,65,100
638,Cobalion,Steel,Fighting,91,90,129,108
639,Terrakion,Rock,Fighting,91,129,90,108
640,Virizion,Grass,Fighting,91,90,72,108
641,TornadusIncarnate Forme,Flying,,79,115,70,111
641,TornadusTherian Forme,Flying,,79,100,80,121
642,ThundurusIncarnate Forme,Electric,Flying,79,115,70,111
642,ThundurusTherian Forme,Electric,Flying,79,105,70,101
643,Reshiram,Dragon,Fire,100,120,100,90
644,Zekrom,Dragon,Electric,100,150,120,90
645,LandorusIncarnate Forme,Ground,Flying,89,125,90,101
645,LandorusTherian Forme,Ground,Flying,89,145,90,91
646,Kyurem,Dragon,Ice,125,130,90,95
646,KyuremBlack Kyurem,Dragon,Ice,125,170,100,95
646,KyuremWhite Kyurem,Dragon,Ice,125,120,90,95
647,KeldeoOrdinary Forme,Water,Fighting,91,72,90,108
647,KeldeoResolute Forme,Water,Fighting,91,72,90,108
648,MeloettaAria Forme,Normal,Psychic,100,77,77,90
648,MeloettaPirouette Forme,Normal,Fighting,100,128,90,128
649,Genesect,Bug,Steel,71,120,95,99
650,Chespin,Grass,,56,61,65,38
651,Quilladin,Grass,,61,78,95,57
652,Chesnaught,Grass,Fighting,88,107,122,64
653,Fennekin,Fire,,40,45,40,60
654,Braixen,Fire,,59,59,58,73
655,Delphox,Fire,Psychic,75,69,72,104
656,Froakie,Water,,41,56,40,71
657,Frogadier,Water,,54,63,52,97
658,Greninja,Water,Dark,72,95,67,122
659,Bunnelby,Normal,,38,36,38,57
660,Diggersby,Normal,Ground,85,56,77,78
661,Fletchling,Normal,Flying,45,50,43,62
662,Fletchinder,Fire,Flying,62,73,55,84
663,Talonflame,Fire,Flying,78,81,71,126
664,Scatterbug,Bug,,38,35,40,35
665,Spewpa,Bug,,45,22,60,29
666,Vivillon,Bug,Flying,80,52,50,89
667,Litleo,Fire,Normal,62,50,58,72
668,Pyroar,Fire,Normal,86,68,72,106
669,Flabébé,Fairy,,44,38,39,42
670,Floette,Fairy,,54,45,47,52
671,Florges,Fairy,,78,65,68,75
672,Skiddo,Grass,,66,65,48,52
673,Gogoat,Grass,,123,100,62,68
674,Pancham,Fighting,,67,82,62,43
675,Pangoro,Fighting,Dark,95,124,78,58
676,Furfrou,Normal,,75,80,60,102
677,Espurr,Psychic,,62,48,54,68
678,MeowsticMale,Psychic,,74,48,76,104
678,MeowsticFemale,Psychic,,74,48,76,104
679,Honedge,Steel,Ghost,45,80,100,28
680,Doublade,Steel,Ghost,59,110,150,35
681,AegislashBlade Forme,Steel,Ghost,60,150,50,60
681,AegislashShield Forme,Steel,Ghost,60,50,150,60
682,Spritzee,Fairy,,78,52,60,23
683,Aromatisse,Fairy,,101,72,72,29
684,Swirlix,Fairy,,62,48,66,49
685,Slurpuff,Fairy,,82,80,86,72
686,Inkay,Dark,Psychic,53,54,53,45
687,Malamar,Dark,Psychic,86,92,88,73
688,Binacle,Rock,Water,42,52,67,50
689,Barbaracle,Rock,Water,72,105,115,68
690,Skrelp,Poison,Water,50,60,60,30
691,Dragalge,Poison,Dragon,65,75,90,44
692,Clauncher,Water,,50,53,62,44
693,Clawitzer,Water,,71,73,88,59
694,Helioptile,Electric,Normal,44,38,33,70
695,Heliolisk,Electric,Normal,62,55,52,109
696,Tyrunt,Rock,Dragon,58,89,77,48
697,Tyrantrum,Rock,Dragon,82,121,119,71
698,Amaura,Rock,Ice,77,59,50,46
699,Aurorus,Rock,Ice,123,77,72,58
700,Sylveon,Fairy,,95,65,65,60
701,Hawlucha,Fighting,Flying,78,92,75,118
702,Dedenne,Electric,Fairy,67,58,57,101
703,Carbink,Rock,Fairy,50,50,150,50
704,Goomy,Dragon,,45,50,35,40
705,Sliggoo,Dragon,,68,75,53,60
706,Goodra,Dragon,,90,100,70,80
707,Klefki,Steel,Fairy,57,80,91,75
708,Phantump,Ghost,Grass,43,70,48,38
709,Trevenant,Ghost,Grass,85,110,76,56
710,PumpkabooAverage Size,Ghost,Grass,49,66,70,51
710,PumpkabooSmall Size,Ghost,Grass,44,66,70,56
710,PumpkabooLarge Size,Ghost,Grass,54,66,70,46
710,PumpkabooSuper Size,Ghost,Grass,59,66,70,41
711,GourgeistAverage Size,Ghost,Grass,65,90,122,84
711,GourgeistSmall Size,Ghost,Grass,55,85,122,99
711,GourgeistLarge Size,Ghost,Grass,75,95,122,69
711,GourgeistSuper Size,Ghost,Grass,85,100,122,54
712,Bergmite,Ice,,55,69,85,28
713,Avalugg,Ice,,95,117,184,28
714,Noibat,Flying,Dragon,40,30,35,55
715,Noivern,Flying,Dragon,85,70,80,123
716,Xerneas,Fairy,,126,131,95,99
717,Yveltal,Dark,Flying,126,131,95,99
718,Zygarde Forme,Dragon,Ground,108,100,121,95
719,Diancie,Rock,Fairy,50,100,150,50
719,DiancieMega Diancie,Rock,Fairy,50,160,110,110
720,HoopaHoopa Confined,Psychic,Ghost,80,110,60,70
720,HoopaHoopa Unbound,Psychic,Dark,80,160,60,80
721,Volcanion,Fire,Water,80,110,120,70
